ID,virus,device_id,deposition_rate,temperature,humidity,flow_rate,time_to_detection,mass_of_virus_fg,required_virus_count
1,COVID‑19 (SARS‑CoV‑2),Device‑1,0.35,23,20,1.5,16,0.00018,666666.6667
2,Influenza A (H1N1),Device‑2,0.43,24,25,1.3,18,0.000084,14642.85714
3,Influenza A (H3N2),Device‑3,0.45,27,21,1.7,14,0.000084,10714285.71
4,Influenza B,Device-4,0.3,29,33,1.2,13,0.000084,10714285.71
5,SARS‑CoV‑1,Device-5,0.3,31,26,1.6,18,0.00018,2777777.778
6,MERS‑CoV,Device‑1,0.35,20,27,1.1,19,0.0002,600000.0
7,RSV‑A,Device‑2,0.37,25,23,1.8,20,0.00007,17571.42857
8,RSV‑B,Device‑3,0.36,21,22,1.5,14,0.00009,10000000.0
9,Rhinovirus A,Device-4,0.32,33,31,1.4,11,0.00003,30000000.0
10,Rhinovirus B,Device-5,-0.41,26,24,1.25,15,0.00003,16666666.67
11,Rhinovirus C,Device‑1,0.27,27,31,1.43,16,0.00003,4000000.0
12,Adenovirus 3,Device‑2,0.42,23,26,1.33,17,0.00012,10250.0
13,Adenovirus 5,Device‑3,0.36,22,25,1.45,13,0.00012,7500000.0
14,Adenovirus 7,Device-4,0.41,31,33,1.66,12,0.00006,15000000.0
15,Parainfluenza 1,Device-5,0.25,24,26,1.5,18,0.000075,6666666.667
16,Parainfluenza 2,Device‑1,0.35,31,37,1.3,17,0.000075,1600000.0
17,Parainfluenza 3,Device‑2,0.27,26,35,1.7,18,0.00007,17571.42857
18,Parainfluenza 4,Device‑3,0.45,24,32,1.2,12,0.000075,12000000.0
19,Human Metapneumovirus,Device-4,0.35,22,38,1.6,14.5,0.00007,12857142.86
20,Measles virus,Device-5,0.43,32,31,1.1,16.6,0.00008,6250000.0
21,Mumps virus,Device‑1,0.45,25,36,1.3,14.31,0.000075,1600000.0
22,Rubella virus,Device‑2,0.3,25,39,1.7,16,0.00006,20500.0
23,Varicella‑Zoster,Device‑3,0.3,31,32,1.2,14.51,0.00009,10000000.0
24,Cytomegalovirus,Device-4,0.35,20,35,1.6,14,0.00011,8181818.182
25,Epstein‑Barr virus,Device-5,0.37,25,30,1.1,17,0.00015,3333333.333
26,Human Bocavirus,Device‑1,0.36,21,27,1.8,19,0.00003,4000000.0
27,Enterovirus D68,Device‑2,0.32,33,29,1.5,13,0.00003,41000.0
28,Enterovirus A71,Device‑3,-0.41,26,26,1.4,18,0.00003,30000000.0
29,Hantavirus,Device-4,0.27,27,24,1.25,19,0.0001,9000000.0
30,Lassa virus,Device-5,0.42,23,37,1.43,20,0.00006,8333333.333
31,Nipah virus,Device‑1,0.36,22,40,1.33,14,0.00009,1333333.333
32,Hendra virus,Device‑2,0.41,31,35,1.45,11,0.00009,13666.66667
33,SARS‑CoV‑2 Omicron,Device‑3,0.25,24,40,1.66,15,0.00018,5000000.0
34,SARS‑CoV‑2 Delta,Device-4,0.35,31,26,1.2,16,0.00018,5000000.0
35,SARS‑CoV‑2 Alpha,Device-5,0.27,26,27,1.5,17,0.00018,2777777.778
36,SARS‑CoV‑2 Beta,Device‑1,0.37,31,23,1.4,13,0.00018,666666.6667
37,SARS‑CoV‑2 Gamma,Device‑2,0.33,20,22,1.25,12,0.00018,6833.333333
38,Human Coronavirus 229E,Device‑3,0.29,25,31,1.43,18,0.00015,6000000.0
39,Human Coronavirus NL63,Device-4,0.45,21,24,1.33,17,0.00015,6000000.0
